145	ETHEthiopia	188(188.34)	221	-8		56.31	56.31	127.50	63.75	123.58	37.07	156.04	31.21	
145	BDIBurundi	188(187.74)	203	-3		83.78	83.78	51.00	25.50	182.11	54.63	119.12	23.82	
147	MDVMaldives	183(183.03)	161	3		91.07	91.07	92.08	46.04	68.00	20.40	127.57	25.51	
148	BOTBotswana	176(175.88)	173	1		41.93	41.93	75.86	37.93	215.11	64.53	157.39	31.48	
149	DOMDominican Republic	175(175.15)	121	14		72.93	72.93	107.61	53.81	72.68	21.80	133.08	26.62	
149	LESLesotho	175(174.93)	193	-5		81.10	81.10	77.07	38.53	82.45	24.74	152.80	30.56	
151	LBRLiberia	167(166.76)	224	-16		60.69	60.69	44.63	22.31	228.44	68.53	76.11	15.22	
152	KVXKosovo	164(163.57)	97	24		107.43	107.43	112.28	56.14	0.00	0.00	0.00	0.00	
153	SOLSolomon Islands	162(161.61)	152	-2		114.11	114.11	79.69	39.84	25.50	7.65	0.00	0.00	
154	SURSuriname	140(140.25)	140	3		0.00	0.00	272.00	136.00	0.00	0.00	21.25	4.25	
155	SSDSouth Sudan	139(138.93)	148	-1		51.85	51.85	63.75	31.88	159.38	47.81	36.98	7.40	
156	VANVanuatu	136(135.74)	141	0		86.02	86.02	63.75	31.88	59.50	17.85	0.00	0.00	
157	NCLNew Caledonia	135(134.67)	146	-2		74.38	74.38	120.59	60.30	0.00	0.00	0.00	0.00	
158	PURPuerto Rico	128(128.16)	112	8		8.50	8.50	136.91	68.46	140.08	42.02	45.90	9.18	
159	MRIMauritius	122(122.33)	134	-1		47.01	47.01	45.66	22.83	152.42	45.73	33.83	6.77	
160	BRBBarbados	118(117.63)	151	-8		48.57	48.57	0.00	0.00	118.29	35.49	167.88	33.58	
161	TAHTahiti	117(117.48)	149	-8		34.00	34.00	166.96	83.48	0.00	0.00	0.00	0.00	
162	IDNIndonesia	111(111.49)	123	0		62.39	62.39	70.05	35.03	0.00	0.00	70.38	14.08	
162	GUYGuyana	111(111.15)	126	-3		0.00	0.00	63.75	31.88	227.80	68.34	54.68	10.94	
162	NEPNepal	111(110.9)	116	3		56.67	56.67	70.83	35.42	48.57	14.57	21.25	4.25	
165	CHAChad	110(109.82)	110	3		0.00	0.00	0.00	0.00	293.25	87.98	109.22	21.84	
165	FIJFiji	110(109.75)	110	3		61.80	61.80	60.21	30.10	59.50	17.85	0.00	0.00	
167	BLZBelize	107(106.81)	96	10		0.00	0.00	43.11	21.55	255.85	76.76	42.50	8.50	
168	LCASt Lucia	105(105.1)	101	5		42.50	42.50	0.00	0.00	130.90	39.27	116.67	23.33	
